Financing Country  (and entity),Financing Country,Institution,Project Name ,MW, Amount (in USD)  , Amount Sources , Estimated Amount2 , Total Project Value , TPV Sources , EPC Revenue , Insurance cover ,Financial Close Date,Year Financed,Region ,Recipient Country ,Recipient Subregion,Sponsors/Parents,Project Sponsor (GCPT)2,EPC Company,Generator Manufacturer,Turbine Maker,Boiler Maker,Sector Group ,Sector ,Latitude,Longitude,Location Accuracy,Phase ID,URL,Source 1,Source 2,Source 3+,GEMTrackerIDs,GEMTrackerLOC,Other and Chinese Names,OpYEAR,Plant Type ,Coal Mine Size (Mtpa)
Multilateral,Multilateral,Asian Development Bank (ADB),Yerevan Gas-Fired Combined-Cycle Power Project (250 MW),250,"$68,400,000 ",,,,,,,4/16/2018,2018,Europe & Central Asia,Armenia,Yerevan,Renco SpA,#N/A,,,,,Gas,Gas-Fired,,,,,,https://www.adb.org/projects/51090-001/main,,,,,,,,
Germany,Germany,Kreditanstalt fÌ_r Wiederaufbau (KfW),Dalrymple Bay Coal Terminal,,,,,,,,,1/1/2009,2009,Oceania,Australia,,Not identified,#N/A,,,,,Coal - Other/Unspecified,Coal - Transport,,,,,,https://ijglobal.com/data/transaction/29775/prime-infrastructure-portfolio-refinancing-2009,,,,,,,,
United Kingdom,United Kingdom,Royal Bank of Scotland,International Power Hazelwood Refinancing,,"$94,120,000 ",,,,,,,1/21/2010,2010,Oceania,Australia,,Hazelwood Power Finance Pty Ltd,#N/A,,,,,Coal Power Plant,Coal Power Plant and Mining - Existing,,,,,,http://www.ijonline.com/data/transaction/26528/ratch-australia-refinancing-2013,,,,,,,,
Germany,Germany,Kreditanstalt fÌ_r Wiederaufbau (KfW),Newcastle Coal Harbor,,,,,,,,,1/1/2010,2010,Oceania,Australia,,Siemens and Bosch Rexroth,#N/A,,,,,Coal Mining,Coal Mining,,,,,,https://www.kfw-ipex-bank.de/International-financing/KfW-IPEX-Bank/About-KfW-IPEX-Bank/Locations/Singapur/,"http://www.longwalls.com/storyview.asp?storyid=1002411
http://www.longwalls.com/storyview.asp?storyid=1002411
http://www.siemens.com.au/files/SiteCollectionDocuments/aunz_business_overview.pdf
http://www.longwalls.com/storyview.asp?storyid=1002411",,,,,,,
Canada,Canada,Export Development Canada (EDC),Newcastle Coal Infrastructure Group Coal Export Terminal Expansion,,"$47,669,084 ",,,,,,,9/8/2010,2010,Oceania,Australia,,Newcastle Coal Infrastructure Group Pty Ltd.,#N/A,,,,,Coal - Other/Unspecified,Other,,,,,,http://www.edc.ca/EN/About-Us/Disclosure/Reporting-on-Transactions/Pages/signed-cat-a-projects-prior-november-1-2010.aspx,,,,,,,,23
India,India,Export Import Bank of India,NRE No 1 Colliery and NRE Wongawilli Colliery Expansion,,"$12,500,000 ",,,,,,,12/22/2010,2010,Oceania,Australia,,Gujarat NRE Coking Coal Ltd,#N/A,,,,,Coal Mining,Coal Mining - New,,,,,,https://ijglobal.com/data/transaction/21903/nre-no-1-colliery-and-nre-wongawilli-colliery-expansion,,,,,,,,
Italy,Italy,Servizi Assicurativi del Commercio Estero (SACE),Gladstone LNG project (from coal seam),,,,,,,,,12/28/2011,2011,Oceania,Australia,,Saipem,#N/A,,,,,Coal Mining,Coal Mining - LNG from coal seam,,,,,,http://www.sace.it/GruppoSACE/export/sites/default/download/comunicati/2011/20111228_-_PR_-_SACE_-_Santos_-_EN.pdf,,,,,,,,
Germany,Germany,Euler Hermes,Longwall system for underground mining and coal processing plant with transportation system,,"$68,560,473 ",,,,,,,1/1/2011,2011,Oceania,Australia,,Bucyrus Europe GmbH,#N/A,,,,,Coal Mining,Coal Mining,,,,,,http://www.agaportal.de/en/aga/projektinformationen/projektinformation_2011.html,,,,,,,,
Canada,Canada,Export Development Canada (EDC),Newcastle Coal Infrastructure Group Coal Export Terminal Expansion,,"$108,530,916 ",,,,,,,8/1/2011,2011,Oceania,Australia,,Newcastle Coal Infrastructure Group Pty Ltd.,#N/A,,,,,Coal - Other/Unspecified,Other,,,,,,http://www.edc.ca/EN/About-Us/Disclosure/Reporting-on-Transactions/Pages/signed-cat-a-projects-prior-november-1-2010.aspx,,,,,,,,0
China (majority bank),China,China Construction Bank (CCB),Millmerran Coal-fired Power Plant Refinancing ,,"$49,810,000 ",,,,,,,6/15/2012,2012,Oceania,Australia,, InterGen,#N/A,,,,,Coal Power Plant,Coal Power Plant - Existing,-27.9606961,151.2793012,exact,PH213.01,https://bit.ly/2E8nuOY,https://ijglobal.com/data/transaction/25549/millmerran-coal-fired-power-plant-refinancing-2012,http://www.sourcewatch.org/index.php/Millmerran_Power_Station,,,,,,Supercritical,
United States,United States,Export-Import Bank of the United States (EXIM),Australia Pacific LNG from coal mines,,,,,,,,,5/8/2012,2012,Oceania,Australia,,Australia Pacific,#N/A,,,,,Coal Mining,Coal Mining - LNG from coal seam,,,,,,http://www.exim.gov/newsandevents/releases/2012/ex-im-bank-approves-nearly-3-billion-in-export-financing-for-u-s-goods-and-services-to-australia-pacific-lng-project.cfm,,,,,,,,
Canada,Canada,Export Development Canada (EDC),Australia Pacific LNG Project‰ÛÜ (from a coal seam),,,,,,,,,5/23/2012,2012,Oceania,Australia,,"ConocoPhillips, Origin Energy and Sinopec‰ÛÜ",#N/A,,,,,Coal - Other/Unspecified,Coal - Policy,,,,,,http://www.edc.ca/EN/About-Us/Disclosure/Reporting-on-Transactions/Documents/project-summary-pacific-lng.pdf,"http://www19.edc.ca/publications/2013/2012csr/english/10-3.shtml
http://www.reuters.com/article/2012/03/02/idUSL4E8E21NU20120302",,,,,,,
Japan,Japan,Japan Bank for International Cooperation (JBIC),Byerwen Coal Project,,"$289,946,269 ",,,,,,,8/15/2012,2012,Oceania,Australia,,"JFE Holdings, Inc",#N/A,,,,,Coal - Other/Unspecified,Coal - Policy,,,,,,https://www.jbic.go.jp/en/information/press/press-2012/0815-7432,"http://www.jbic.go.jp/en/about/press/2012/0815-01/index.html
www.dsdip.qld.gov.au/assessments-and-approvals/byerwen-coal-project.html",,,,,,,2
Japan,Japan,Japan Bank for International Cooperation (JBIC),Isaac Plains Coal Mine,,"$302,374,295 ",,,,,,,8/29/2012,2012,Oceania,Australia,,Sumisho Coal Australia (an Australian subsidiary of Sumitomo Corporation),#N/A,,,,,Coal Mining,Coal Mining,,,,,,http://www.jbic.go.jp/en/information/press/press-2012/0829-7439,http://www.aquilaresources.com.au/files/MiningNews%20130720121.pdf,,,,,,,3
Japan,Japan,Japan Bank for International Cooperation (JBIC),Kestrel Coal Mine Development,,"$259,000,000 ",,,,,,,2/27/2012,2012,Oceania,Australia,,Mitsui Kestrel Coal Investment Pty Ltd,#N/A,,,,,Coal Mining,Coal Mining,,,,,,https://www.jbic.go.jp/en/information/press/press-2011/0227-7295,,,,,,,,7
United States,United States,Export-Import Bank of the United States (EXIM),Queensland Curtis Island LNG project from coal mine,,,,,,,,,12/27/2012,2012,Oceania,Australia,,BG Group (UK),#N/A,,,,,Coal - Other/Unspecified,Coal - Policy,,,,,,http://www.smh.com.au/business/bg-gets-18b-from-us-exportimport-bank-for-curtis-lng-project-20130101-2c4cp.html,http://www.exim.gov/about/library/reports/annualreports/2013/FY2013-long-term-guarantees-auth.pdf,,,,,,,
Japan,Japan,Japan Bank for International Cooperation (JBIC),Boggabri Coal Mine Expansion Project,,"$350,000,000 ",,,,,,,5/16/2013,2013,Oceania,Australia,,Idemitsu Australia Resources Pty Ltd,#N/A,,,,,Coal Mining,Coal - Policy,,,,PH013.01,,https://www.jbic.go.jp/en/information/press/press-2013/0516-7513,,,,,,,,7
Japan,Japan,Japan Bank for International Cooperation (JBIC),Caval Ridge Coal Mine Development Project,,"$1,473,932,460 ",,,,,,,3/27/2013,2013,Oceania,Australia,,MC Finance Australia Pty Ltd (Subsidary of Mitsubishi Corporation),#N/A,,,,,Coal Mining,Coal Mining,,,,PH017.01,,http://www.jbic.go.jp/en/information/press/press-2012/0327-7392,,,,,,,,6
India,India,Export Import Bank of India,Gujarat NRE Cokin Coal Mine Capex facility 2013,,"$17,750,000 ",,,,,,,9/30/2013,2013,Oceania,Australia,,Gujarat NRE Coking Coal Ltd,#N/A,,,,,Coal Mining,Coal Mining - New,,,,PH059.01,,https://ijglobal.com/data/transaction/28382/gujarat-nre-cokin-coal-mine-capex-facility-2013,,,,,,,,
United Kingdom,United Kingdom,Royal Bank of Scotland,Ratch Australia Refinancing 2013,,"$24,390,000 ",,,,,,,5/23/2013,2013,Oceania,Australia,,Ratch Australia Corporation Limited,Ratchaburi Electricity Generating Holding,,,,,Coal Power Plant,Coal Power Plant - Existing,,,,PH219.01,,,,,,,,,,
China (majority bank),China,Industrial and Commercial Bank of China (ICBC),Worsley Co-Generation Plant Refinancing 2014,,"$38,370,000 ",,,,,,,11/27/2014,2014,Oceania,Australia,,General Electric,#N/A,,,,,Coal - Other/Unspecified,Coal - other,,,,PH329.01,,https://ijglobal.com/data/transaction/32929/worsley-co-generation-plant-refinancing-2014,,,,,,,,
United Kingdom,United Kingdom,Royal Bank of Scotland,BHP Billiton Refinancing,,"$207,380,000 ",,,,,,,5/1/2014,2014,Oceania,Australia,,BHP Billiton,#N/A,,,,,Coal Mining,Coal Mining - Existing,,,,PH196.01,,https://ijglobal.com/data/transaction/33041/bhp-billiton-refinancing-2014,,,,,,,,
China (majority bank),China,Industrial and Commercial Bank of China (ICBC),Millmerran Coal-fired Power Plant Refinancing ,850,"$23,130,000 ",,,,,,,6/11/2015,2015,Oceania,Australia,,"InterGen, GE Capital,  Tohoku Electric Power, and Marubeni","China Huaneng, Intergen",,,,,Coal Power Plant,Coal Power Plant - Existing,åÊ-27.9606961,151.2793012,exact,PH213.01,https://bit.ly/2E8nuOY,https://ijglobal.com/data/transaction/34055/millmerran-coal-fired-power-plant-refinancing-2015,http://www.sourcewatch.org/index.php/Millmerran_Power_Station,,,L100019,,,Supercritical,
China (majority bank),China,Agricultural Bank of China (ABC),Millmerran Coal-fired Power Plant Refinancing ,850,"$19,270,000 ",,,,,,,6/11/2015,2015,Oceania,Australia,,"InterGen, GE Capital,  Tohoku Electric Power, and Marubeni","China Huaneng, Intergen",,,,,Coal Power Plant,Coal Power Plant - Existing,-27.9606961,151.2793012,exact,PH213.01,https://bit.ly/2E8nuOY,https://ijglobal.com/data/transaction/34055/millmerran-coal-fired-power-plant-refinancing-2015,http://www.sourcewatch.org/index.php/Millmerran_Power_Station,,,L100019,,,Supercritical,
China (majority bank),China,Bank of China (BOC),Millmerran Coal-fired Power Plant Refinancing ,850,"$15,420,000 ",,,,,,,6/11/2015,2015,Oceania,Australia,,"InterGen, GE Capital,  Tohoku Electric Power, and Marubeni","China Huaneng, Intergen",,,,,Coal Power Plant,Coal Power Plant - Existing,åÊ-27.9606961,151.2793012,exact,PH213.01,https://bit.ly/2E8nuOY,https://ijglobal.com/data/transaction/34055/millmerran-coal-fired-power-plant-refinancing-2015,http://www.sourcewatch.org/index.php/Millmerran_Power_Station,,,L100019,,,Supercritical,
China (majority bank),China,Bank of Communications,Millmerran Coal-fired Power Plant Refinancing ,850,"$16,190,000 ",,,,,,,6/11/2015,2015,Oceania,Australia,,"InterGen, GE Capital,  Tohoku Electric Power, and Marubeni","China Huaneng, Intergen",,,,,Coal Power Plant,Coal Power Plant - Existing,åÊ-27.9606961,151.2793012,exact,PH213.01,https://bit.ly/2E8nuOY,https://ijglobal.com/data/transaction/34055/millmerran-coal-fired-power-plant-refinancing-2015,http://www.sourcewatch.org/index.php/Millmerran_Power_Station,,,L100019,,,Supercritical,
China (Equity+EPC),China,EnergyChina,Kurri Kurri Coal Plant,2000,,,, 2.98B USD ,,,,1/1/1950,2050,Oceania,Australia,"Hunter Valley, New South Wales",Cavcorp; Kaisun Holdings; EnergyChina (CEEC NWPCE),,,,,,Coal Power Plant,,-32.83532,151.451952,approximate,PH407.01,https://www.gem.wiki/Kurri_Kurri_power_station,https://www.pv-magazine-australia.com/2019/03/07/a-new-ultra-super-critical-coal-fired-electricity-plant-for-nsw/,http://project.mofcom.gov.cn/1800000091_2_115642_0_7.html,"https://www.iea-coal.org/australia-new-coal-fired-power-plant-planned-near-kurri-kurri/
http://111.207.175.229/tenderDetails.html?id=70&webSiteId=2
https://www.worldcoal.com/power/12032019/new-coal-fired-power-plant-planned-for-kurri-kurri/
https://www.abc.net.au/news/2019-03-07/new-coal-fired-plan-in-nsw-hunter-valley-reignite-climate-wars/10877470",,,,,,
China (majority bank),China,Industrial and Commercial Bank of China (ICBC),Millmerran Coal Plant (850MW),850,"$29,340,000 ",,,"$462,870,000 ",,,,6/15/2018,2018,Oceania,Australia,Queensland,Millmerran Power Management Pty Ltd,"China Huaneng, Intergen",,,,,Coal Power Plant,Coal Power Plant - Existing,åÊ-27.9606961,151.2793012,exact,PH188.01,https://bit.ly/2qrRLAF,https://ijglobal.com/data/transaction/43351/millmerran-coal-fired-power-plant-850mw-refinancing-2018,https://www.sourcewatch.org/index.php/Millmerran_Power_Station,,,L100019,,,Supercritical,
Australia,Australia,Government of Australia,Carmichael Coal Mines and Railway,,"$521,870,000 ",,,,,,,1/1/1950,2050,Oceania,Australia,,Adani Enterprises,#N/A,,,,,Coal Mining,,-21.994481,146.360531,,PH198.01,https://bit.ly/2N44qUT,https://ijglobal.com/data/transaction/30999,,,,,,,,
Germany (old),Germany (old),Euler Hermes,Coalmining machinery: expansion of a longwall mining system for the Narrabri mine,,"$4,268,943 ",,,,,,,1/1/1950,2050,Oceania,Australia,,,#N/A,,,,,Coal Mining,Coal Mining,,,,PH206.03,,,,,,,,,,
Germany (old),Germany (old),Euler Hermes,Equipment for coal mining: Extension of Strebbausystems for Narrabri mine,,"$17,075,774 ",,,,,,,1/1/1950,2050,Oceania,Australia,,,#N/A,,,,,Coal Mining,Coal Mining,,,,PH210.01,,,,,,,,,,
India,India,State Bank of India,Carmichael Coal Mines and Railway,,"$1,000,000,000 ",,,,,,,1/1/1954,2054,Oceania,Australia,Galilee Basin,Adani Enterprises,#N/A,,,,,Coal Mining,Coal Mining - New,-21.994481,146.360531,,PH198.01,https://bit.ly/2N44qUT,,https://ijglobal.com/data/transaction/30999/carmichael-coal-mine,http://www.thehindu.com/business/Industry/adani-groups-australian-mine-project-cleared/article6608157.ece,,,,,,"11,000,000,000"
China,China,TBD,Hazelwood (Sunset Power International) 1320 MW,1320,,,,,,,,1/1/1955,2055,Oceania,Australia,,Sunset Power International,Sunset Power International,,,,,Coal Power Plant,Coal Power,-38.270864,146.391875,exact,PH342.01,https://www.gem.wiki/Hazelwood_(Sunset_Power_International)_power_station,,,,G114254; G114255,L104598,,,,
Multilateral,Multilateral,Asian Development Bank (ADB),Khulna IPP,150,"$70,500,000 ",,,,,,,9/27/2011,2011,South Asia,Bangladesh,,Initec,#N/A,,,,,Coal Power Plant,Coal Power Plant - New,,,,,,https://ijglobal.com/data/transaction/21533/khulna-ipp-150mw,,,,,,,,
China,China,Export Import Bank of China (Chexim),Alam Banshkhali Chittagong Power Plant (1320MW),1320,"$1,739,000,000 ",,,"$2,400,000,000 ",,,,9/1/2017,2017,South Asia,Bangladesh,"Bankshali, Chittagong","S Alam Group, SEPCO III (PowerChina)",,SEPCO3-PowerChina,,,,Coal Power Plant,Coal Power Plant - New,22.3667,91.8,approximate,PH003.01,https://www.gem.wiki/Banshkhali_power_station_(S_Alam),http://today.thefinancialexpress.com.bd/last-page/power-div-warns-of-scrapping-s-alam-grs-coal-power-plant-1543082377,http://www.reuters.com/article/us-bangladesh-power-protest-idUSKBN15H0L3,"http://www.theindependentbd.com/printversion/details/34267
http://www.sepco3.com/yijie.aspx?CateId=310
http://www.globalconstructionreview.com/news/more-death-and-injury-mar-chine7se-back7ed-co7al/",,L100060,,,Supercritical?,
Japan,Japan,Japan International Cooperation Agency (JICA),"Chittagong Main Power Grid Strengthening Project
Dhaka-Chittagong Main Power Grid Strengthening Project",,"$429,731,482 ",,,,,,,12/13/2015,2015,South Asia,Bangladesh,,Government of Bangladesh,#N/A,,,,,Coal - Other/Unspecified,Other,,,,,,http://www.jica.go.jp/english/news/press/2015/151214_01.html,http://energybangla.com/ecnec-approves-dhaka-chittagong-main-power-grid-project/,,,,,,,
China (equity+EPC),China,PowerChina,Alam Banshkhali Chittagong Power Plant (1320MW),1320,"$195,000,000 ",,,"$2,400,000,000 ",,,,9/1/2017,2017,South Asia,Bangladesh,"Bankshali, Chittagong","S Alam Group, SEPCO III and HTG (PowerChina)",,SEPCO3-PowerChina,,,,Coal Power Plant,Coal Power Plant - New,22.3667,91.8,approximate,PH003.01,https://www.gem.wiki/Banshkhali_power_station_(S_Alam),http://today.thefinancialexpress.com.bd/last-page/power-div-warns-of-scrapping-s-alam-grs-coal-power-plant-1543082377,http://www.reuters.com/article/us-bangladesh-power-protest-idUSKBN15H0L3,"http://www.theindependentbd.com/printversion/details/34267
http://www.sepco3.com/yijie.aspx?CateId=310
http://www.globalconstructionreview.com/news/more-death-and-injury-mar-chine7se-back7ed-co7al/",,L100060,,,Supercritical?,
China (majority bank),China,Industrial and Commercial Bank of China (ICBC),Barapukuria Coal Plant Unit 3 (275MW),275,"$228,591,701 ",,,"$559,111,701 ",,,,2/16/2015,2015,South Asia,Bangladesh,Rajshahi,Bangladesh Power Development Board ,#N/A,GE and China National Machinery and Equipment Import and Export Corporation ,,,,Coal Power Plant,Coal Power Plant - Expansion,åÊ25.5537569,88.9486312,exact,PH195.01,https://www.gem.wiki/Barapukuria_Coal_Power_Plant,,http://ieefa.org/wp-content/uploads/2016/11/Bangladesh-Electricity-Transition_-NOVEMBER-2016.pdf,http://www.mof.gov.bd/en/budget/16_17/brief/en/St6A_En_r.pdf,,#REF!,,2018,Subcritical,
China (EPC),China,Genertec,Ashuganj Gas Plant (400-420MW),420,,,,"$245,000,000 ",,,,1/1/1950,2050,South Asia,Bangladesh,,Ashuganj Power Station Company Limited (APSCL) ,,China National Technical Import and Export Corporation (CNTIC) [Genertec subsidiary] and China National Corp. for Overseas Economic Cooperation (CCOEC) ,,Siemens,,Gas,Gas-Fired,,,,add,,http://global.chinadaily.com.cn/a/201803/21/WS5ab141c6a3106e7dcc143f44.html,http://www.xinhuanet.com/english/2018-03/21/c_137053353_2.htm,,,,,,,
China (equity+EPC),China,PowerChina,Barisal Power Station Unit 1 (350MW),350,,,"$547,200,000 ","$570,000,000 ",,,,7/1/2017,2017,Southeast Asia,Bangladesh,,"Iso Tech Group 4%, PowerChina 96%",,SEPC (PowerChina),SEPC (PowerChina),,,Coal Power Plant,Coal Power,21.961035,90.062712åÊ,,PH343.01,https://www.gem.wiki/Barisal_power_station,https://bwged.blogspot.com/p/barisal-coal-power-plant.html,http://energybangla.com/another-350-mw-coal-fired-power-plant-in-barguna/,"http://pr.powerchina.cn/english/tabid/393/language/zh-CN/Default.aspx
https://www.observerbd.com/details.php?id=160939&fb_comment_id=2648818081800635_2648825931799850
http://project.mofcom.gov.cn/1800000091_1_111768_0_7.html
http://news.bjx.com.cn/html/20190116/956995.shtml
http://www.sepcc.com/art/2020/2/28/art_8131_747439.html",,L100053,"Shanghai Electric Power Construction Co., Ltd, a subsidiary of PowerChina = Šü_¾µáÓµŒÈ¼
Œ_ÙŒ_Ê¾ÜäŒá«Ô_¬350MWàÄÉ_ÓµÇªŽÁ_Ý¨",2023,,
Bangladesh,Bangladesh,Infrastructure Development Company Limited (IDCOL),Bhola Gas-Fired Power Plant (220MW),220,"$59,670,000 ",,,,,,,12/6/2018,2018,South Asia,Bangladesh,,,#N/A,,,,,Gas,Gas-Fired,,,,21437,,https://ijglobal.com/data/transaction/21437/bhola-gas-fired-power-plant-220mw,,,,,,,,
China (Equity+EPC),China,PowerChina,Barisal Power Station Unit 2 (350MW),350,,,"$518,400,000 ","$540,000,000 ",,,,1/1/1950,2050,Southeast Asia,Bangladesh,,"Iso Tech Group, PowerChina, China Resources",,SEPC (PowerChina),SEPC (PowerChina),,,Coal Power Plant,Coal Power,21.961035,90.062712åÊ,,PH343.02,https://www.gem.wiki/Barisal_power_station,"https://en.powerchina.cn//bangladesh.html
",http://energybangla.com/another-350-mw-coal-fired-power-plant-in-barguna/,"http://pr.powerchina.cn/english/tabid/393/language/zh-CN/Default.aspx
https://www.observerbd.com/details.php?id=160939&fb_comment_id=2648818081800635_2648825931799850
http://projectinfo.bhi.com.cn/DynamicTopic/Bidding_AbroadDetail.aspx?id=29938390
http://project.mofcom.gov.cn/1800000091_1_111768_0_7.html
http://news.bjx.com.cn/html/20190116/956995.shtml
http://www.sepcc.com/art/2020/2/28/art_8131_747439.html
https://bwged.blogspot.com/p/barisal-coal-power-plant.html
https://www.legal500.com/firms/31513-doulah-doulah/31761-dhaka-bangladesh/",,L100053,"Shanghai Electric Power Construction Co., Ltd, a subsidiary of PowerChina = Šü_¾µáÓµŒÈ¼
Œ_ÙŒ_Ê¾ÜäŒá«Ô_¬350MWàÄÉ_ÓµÇªŽÁ_Ý¨",,,
China (equity),China,Export Import Bank of China (Chexim),Dighipara coal plant (1000MW),1000,,, $ -   ,,,,,1/1/1950,2050,South Asia,Bangladesh,Rangpur,BCPCL: NWPGCL 50%  and CMC (Genertec) 50%,,,,,,Coal Power Plant,,25.41667,89.08333,Exact,PH394.01,https://www.gem.wiki/Dighipara_power_station,http://www.nwpgcl.org.bd/future-projects,https://www.bcpcl.org.bd/files/pdf/annual_report_2018.pdf,https://www.nwpgcl.org.bd/upload/notices/1578284520-North-West-(Annual-Report-2019)-Final.pdf,G113869,L104380,,2028,Ultra-super,
China (EPC),China,PowerChina,Gazaria Coal Plant (350MW),350,,,,"$550,000,000 ",,,,1/1/2000,2100,South Asia,Bangladesh,,Rural Power Company Limited,#N/A,"Hubei Hongyuan Power Engineering Co Ltd (HYPEC), Rural Power Company Limited, PowerChina Beijing Engineering Corp Ltd (PCBE•_ä",,,,Coal Power Plant,Coal Power Plant - New ,23.541667,90.608333,exact,PH058.01,https://www.gem.wiki/Gazaria_power_station_(RPCL),http://www.rpcl.gov.bd/site/page/417c0307-b032-40eb-8884-eff11684cc3a/-,https://www.marketforces.org.au/wp-content/uploads/2019/11/Choked-by-Coal_The-Carbon-Catastrophe-in-Bangladesh-FULL.pdf,,,L100074,,2023,Supercritical,
Multilateral,Multilateral,Asian Infrastructure and Investment Bank (AIIB),Bhola Gas-Fired Power Plant (220MW),220,"$59,670,000 ",,,,,,,12/6/2018,2018,South Asia,Bangladesh,,,#N/A,,,,,Gas,Gas-Fired,,,,21437,,https://ijglobal.com/data/transaction/21437/bhola-gas-fired-power-plant-220mw,,,,,,,,
Private or Other,Private or Other,Clifford Chance,Bhola Gas-Fired Power Plant (220MW),220,"$268,040,000 ",,,"$268,040,000 ",,,,12/6/2018,2018,South Asia,Bangladesh,,,#N/A,,,,,Gas,Gas-Fired,,,,21437,,https://ijglobal.com/data/transaction/21437/bhola-gas-fired-power-plant-220mw,,,,,,,,
China (majority bank),China,Bank of China (BOC),Mmamabula Coal Plant (1200MW),1200,,,,,,,,1/1/2000,2100,Sub-Saharan Africa,Botswana,,"Glendal Trading, Jindal Group",#N/A,,,,,Coal Power Plant,Coal Power Plant and Mine,-23.609295,26.774952,exact,PH174.01,https://www.gem.wiki/Mmamabula_Energy_Project,http://africanenergyresources.com/wp-content/uploads/2016/05/African-Energy-Annual-Report-2019-2.pdf,https://ijglobal.com/data/transaction/15403/mmamabula-energy-project-1200mw,,,,,,,
Multilateral,Multilateral,Islamic Development Bank,Bhola Gas-Fired Power Plant (220MW),220,"$59,670,000 ",,,,,,,12/6/2018,2018,South Asia,Bangladesh,,,#N/A,,,,,Gas,Gas-Fired,,,,21437,,https://ijglobal.com/data/transaction/21437/bhola-gas-fired-power-plant-220mw,,,,,,,,
China (equity),China,Genertec,Dighipara coal plant (1000MW),1000,,, $ -   ,,,,,1/1/1950,2050,South Asia,Bangladesh,Rangpur,BCPCL: NWPGCL 50%  and CMC (Genertec) 50%,,,,,,Coal Power Plant,,25.41667,89.08333,Exact,PH394.01,https://www.gem.wiki/Dighipara_power_station,http://www.nwpgcl.org.bd/future-projects,https://www.bcpcl.org.bd/files/pdf/annual_report_2018.pdf,https://www.nwpgcl.org.bd/upload/notices/1578284520-North-West-(Annual-Report-2019)-Final.pdf,G113869,L104380,,2028,Ultra-super,
Multilateral,Multilateral,Islamic Development Bank,Rupsha Combined Cycle Power Plant (800 MW),800,"$300,000,000 ",,,,,,,8/2/2018,2018,South Asia,Bangladesh,Khulna,North-West Generation Company Limited,#N/A,,,,,Gas,Gas-Fired,,,,,,https://www.adb.org/projects/50161-003/main#project-overview,,,,,,,,
China,China,EnergyChina,Kalapara Patuakhali coal plant Ashuganj (1320MW),1320,,,"$200,000,000 ","$2,000,000,000 ",,,,1/1/1950,2050,South Asia,Bangladesh,Barisal,"Ashuganj Power Station Company Ltd. (APSCL) 50%, EnergyChina 50%",#N/A,,,,,Coal Power Plant,Coal Power - New,21.986667,90.241667,approximate,PH370.01,https://www.gem.wiki/Patuakhali_power_station_(Ashuganj),https://www.apscl.com/home/uprojects,,,,,,,,
Japan (company),Japan (company),Mitsubishi Corporation,Matarbari Gas-Fired Power Plant (1800MW) & LNG Terminals,1800,,,,,,,,1/1/1950,2050,South Asia,Bangladesh,,,#N/A,,,,,Gas,Gas-Fired,,,,41005,,https://ijglobal.com/data/transaction/41005/matarbari-gas-fired-power-plant-1800mw-and-lng-terminals,,,,,,,,
South Korea,South Korea,TBD,Maheshkhali Coal Plant KEPCO (1320MW),1320,,,,"$2,000,000,000 ",,,,1/1/1999,2099,South Asia,Bangladesh,Maheshkhali Island,"China Huadian, Bangladesh Power Development Board",#N/A,,,,,Coal Power Plant,Coal Power - New,21.632953,91.901935åÊ,,PH097.02,https://www.gem.wiki/Maheshkhali_power_station_(KEPCO),https://www.marketforces.org.au/wp-content/uploads/2019/11/Choked-by-Coal_The-Carbon-Catastrophe-in-Bangladesh-FULL.pdf,,,,L100067,,2029,Ultrasupercritical,
United States (Commercial),United States (Commercial),General Electric,Maheshkhali Power Plant & LNG Terminal (3600MW),3600,,,,,,,,1/1/1950,2050,South Asia,Bangladesh,,,#N/A,,,,,Gas,Gas-Fired,,,,,,https://ijglobal.com/data/transaction/42507/maheshkhali-power-plant-and-lng-terminal-3600mw,,,,,,,,
Japan,Japan,Japan Bank for International Cooperation (JBIC),Cirebon Coal Plant Phase 3 (1000MW),1000,"$731,000,000 ",,,"$2,000,000,000 ",,,,1/1/2000,2100,Southeast Asia,Indonesia,West Java,"Marubeni, Korea Midland Power, Samtan and PT Indika Energy",,,Toshiba Manufacturing Co (TOSHIBA),Toshiba Manufacturing Co (TOSHIBA),Mitsubishi Hitachi Power Systems (MHPS),Coal Power Plant,Coal Power Plant - Expansion,-6.7702857,108.6148578,,PH022.01,https://www.gem.wiki/Cirebon_power_station,https://www.marketforces.org.au/research/indonesia/cirebon-3/,https://www.sourcewatch.org/index.php/Cirebon_power_station,https://ijglobal.com/data/transaction/36070/cirebon-3-coal-fired-power-plant-1000mw,,L102814,,2022,Ultrasupercritical,
China,China,Export Import Bank of China (Chexim),Kalapara Patuakhali coal plant Ashuganj (1320MW),1320,,,"$1,600,000,000 ","$2,000,000,000 ",,,,1/1/1950,2050,South Asia,Bangladesh,Barisal,"APSCL 50%, EnergyChina 50%",#N/A,,,,,Coal Power Plant,Coal Power - New,21.986667,90.241667,approximate,PH370.01,https://www.gem.wiki/Patuakhali_power_station_(Ashuganj),https://www.apscl.com/home/uprojects,,,,,,,,
